條碼	書名/刊名	著（譯）者	初版社	版本	卷/冊次	櫃位編號	出版日期	入庫日期	I.健康養生	館藏別	語文	附CD/DVD
JAC00069	慈音佛三期普度救劫經		代天宮			A64		2017/10/9	C.經典類	峨眉書院	華語	無
JAC00070	金剛般若波羅蜜經		佛文雜誌社			A64	1984/12/15	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00071	彌勒淨土的殊勝暨佛說觀彌勒菩薩上生兜率陀天經	慈惟中	慧橋出版社	初版		A64	1985/1/27	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00072	永嘉禪宗集註					A64	1981/12/1	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00073	承天寶鑑 附：金剛要略淺註	張永勳、江戒旦	承天宮警義堂			A64	1978/11/9	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00074	摩訶般若波羅蜜多心經小註	夢湖	玉珍書局出版社			A64	1982/4/1	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00075	摩訶般若波羅蜜多心經		天恩宮			A64	1986/3/3	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00076	金剛經		崇華堂			A64	1978/10/1	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00077	金剛經釋要心經印疏		菩提印經會			A64	1983/12/1	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00078	濟佛註解金剛經		天道之光出版社			A64	1993/6/1	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00079	先天解六祖壇經	孟穎	靝巨書局			A64	1989/8/1	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00080	六祖大師法寶壇經淺釋		善言文摘社	二版		A64	1988/10/1	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00081	自在的菩薩─般若心經講記	林榮澤	一貫義理編輯苑	初版		A64	2012/7/1	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00082	彌勒會元寶卷	彌勒祖師	飄然山莊	初版		A64	2017/9/1	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00083	古佛親註金剛經真解		聖賢雜誌社			A64	1980/4/1	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00084	六祖壇經註解					A64		2017/10/9	C.經典類	峨眉書院	華語	無
JAC00085	妙法蓮華經冠科		法雨講堂印經會			A64	1983/11/1	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00086	三教經典合編		大世紀出版社			A64	1981/5/1	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00087	古代聖賢教子經	侯又白	薪傳出版社	初版		A64	2001/7/1	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00088	醫道還元：卷上	純陽呂祖師		重刊		A64	1956/1/1	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00089	醫道還元：卷下	純陽呂祖師		重刊		A64	1956/1/1	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00090	聖凡如意書	李欣霖	光慧文化事業股份有限公司	初版		A64	2002/10/1	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00091	新譯老子解義	吳怡	三民書局	初版		A64	1994/2/1	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00092	老子義疏註全集	吳靜宇	三德書局			A64	1991/8/5	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00093	清靜經					A64		2017/10/9	C.經典類	峨眉書院	華語	無
JAC00094	道德經白話解說	江希張	若水善書流通處	三版		A64	1982/8/1	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00095	道德經小註：上冊	夢湖	正德雜誌社			A64	1980/10/1	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00096	道德經清靜經白話解說	蘇俊道	正一善書出版社			A64	1999/3/1	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00097	清靜經集註	林立仁	正一善書出版社	二版		A64	2001/1/1	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00098	清靜經白話解說					A64		2017/10/9	C.經典類	峨眉書院	華語	無
JAC00099	太上清靜經註解	玄同真人	證道雜誌社			A64	2000/5/14	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00100	清靜經白話註解		明德印經會			A64		2017/10/9	C.經典類	峨眉書院	華語	無
JAC00101	清靜經白話註解		三峽靈隱寺			A64		2017/10/9	C.經典類	峨眉書院	華語	無
JAC00102	我們對道教應有的認識	張檉、李永雄	道教會	二版		A64	1994/8/1	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00103	道德經白話註解	周金標	萬有善書出版社	二版		A64	1970/1/1	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00104	太上十三經註釋(第二集之四)	李涵虛真人	自由出版社	三版		A64	1976/9/1	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00105	太上感應篇白話註解		正一善書出版社	初版		A64	1998/3/1	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00106	太上老君清靜經註解：修身寶壁		中華民國道教會台北分會			A64	1994/9/1	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00107	道德經句解	李易儒	藍燈文化事業股份有限公司	十二版		A64	1999/9/1	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00108	道德經：附清靜經		台北市道教會			A64	1994/12/1	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00109	道德經	吳靜宇				A64		2017/10/9	C.經典類	峨眉書院	華語	無
JAC00110	太乙金華宗旨呂祖指玄篇秘註合刊	呂祖純陽真人	自由出版社	初版		A64	1976/1/1	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00111	善應寶篇	玉勅崇聖殿	玉勅崇聖殿			A64	1978/5/1	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00112	道德經白話註解	周金標	萬有善書出版社	初版		A64	1977/8/1	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00113	元始天尊四十九章經	玄陽子				A64		2017/10/9	C.經典類	峨眉書院	華語	無
JAC00114	性命雙修要旨合篇(第三集之六)	文山遯叟蕭天石	自由出版社	五版		A64	1990/10/5	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00115	純陽呂祖心經：白話新解		正一善書出版社			A64	1996/5/1	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00116	賓臨喜醴	吳承祜	圓晟出版社	初版一刷		A64	1995/6/30	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00117	太上救劫金燈	神聖降鸞註解於高雄五文昌宮	聖賢雜誌社	二版		A64	1987/6/1	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00118	明聖經講義		天道之光出版社	修訂		A64	2001/11/1	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00119	忠義貫古今：桃園明聖經真本淺釋	黃國彰、鐘昆易、萬義昉、黃國華、戴秀美、張金輝	光慧文化事業股份有限公司	初版'		A64	2001/4/1	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00120	關聖帝君桃園明聖經註解		聖道渡化實踐委員會	初版		A64	1981/12/1	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00121	太上救劫金燈		福全佛堂五文昌宮管理委員會善書部	二版		A64	1979/8/1	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00122	東林普度真經		醒心宮、靈峰寺			A64	1962/1/1	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00123	太陽星君真經、太陰元君真經合本					A64		2017/10/9	C.經典類	峨眉書院	華語	無
JAC00124	關聖帝君降筆真經應驗桃園明聖經句釋合冊誦本		至善書局	重刊		A64	1986/3/1	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00125	桃園明聖經					A64	1969/5/1	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00126	關帝聖經					A64	1963/12/1	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00127	十三經注疏1周易尚書		藝文印書館			A64		2017/10/9	C.經典類	峨眉書院	華語	無
JAC00128	孝經講義		天道之光出版社			A65	2007/3/1	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00129	孔子孝經		正一善書出版社			A65		2017/10/9	C.經典類	峨眉書院	華語	無
JAC00130	孝經小註	夢湖	正一善書出版社			A65		2017/10/9	C.經典類	峨眉書院	華語	無
JAC00131	關中嚴協和編述孝經白話注釋	于右任	萬有善書出版社			A65	1981/8/1	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00132	福慧雙修(二)：孝道寶典					A65		2017/10/9	C.經典類	峨眉書院	華語	無
JAC00133	孔子孝經		正一善書出版社			A65		2017/10/9	C.經典類	峨眉書院	華語	無
JAC00134	孝經釋義五倫大道合篇		臺北清正堂	重刊		A65	1981/8/5	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00135	孝經釋義		聖賢雜誌社	二版		A65	1982/5/1	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00136	學庸講義	毛樹駿	中國孔學會	二版		A65	1976/4/1	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00137	學庸小註	夢湖	玉珍書局出版社	三版		A65	1983/4/1	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00138	學庸新解	鄭曼青	臺灣商務印書館	初版		A65	1971/7/1	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00139	白陽聖訓：中庸	聖賢仙佛齊著	天元佛院	二版一刷		A65	2011/8/1	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00140	中庸會通		天道之光出版社			A65	2003/3/1	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00141	中庸白話淺釋	陳樹旺	正一善書出版社	二版		A65	2003/10/1	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00142	中庸證釋	列聖齊著	三德書局			A65		2017/10/9	C.經典類	峨眉書院	華語	無
JAC00143	中庸直指	明憨山大師述				A65		2017/10/9	C.經典類	峨眉書院	華語	無
JAC00144	易經的圖與卦	閆修篆	五洲出版社			A65	2008/5/1	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00145	周易本義	田中慶太郎	五洲出版社	初版一刷		A65	1998/5/1	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00146	周易今註今譯：修訂本	南懷瑾、徐芹庭	臺灣商務印書館			A65		2017/10/9	C.經典類	峨眉書院	華語	無
JAC00147	周易淺述(上)	陳夢雷	大孚書局有限公司	初版		A65	1995/10/1	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00148	周易淺述(下)	陳夢雷	大孚書局有限公司	初版		A65	1995/10/1	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00149	易經證釋精析妙解(上經)	宇克承	圓晟出版社	二版		A65	2003/6/1	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00150	易經證釋精析妙解(下經)	宇克承	圓晟出版社	二版		A65	2003/6/1	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00151	易經探原	鄭衍通	中教出版社	初版		A65		2017/10/9	C.經典類	峨眉書院	華語	無
JAC00152	易經與性理	徐庸釋	岑雅出版社			A65	1996/3/1	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00153	易經證釋(第一部)	列聖齊註	正一善書出版社	二版		A65	2005/10/1	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00154	易經證釋(第二部)	列聖齊註	正一善書出版社	二版		A65	2005/10/1	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00155	易經證釋(第三部)	列聖齊註	正一善書出版社	二版		A65	2005/10/1	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00156	易經證釋(第四部)	列聖齊註	正一善書出版社	二版		A65	2005/10/1	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00157	易經證釋(第五部)	列聖齊註	正一善書出版社	二版		A65	2005/10/1	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00158	易經證釋(第六部)	列聖齊註	正一善書出版社	二版		A65	2005/10/1	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00159	易經證釋(第七部)	列聖齊註	正一善書出版社	二版		A65	2005/10/1	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00160	易經證釋(第八部)	列聖齊註	正一善書出版社	二版		A65	2005/10/1	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00161	回天寶懺元部(卷一、卷二)		中國同善社	重刊		A65	1998/10/1	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00162	回天寶懺亨部(卷三、卷四)		中國同善社	重刊		A65	1998/10/1	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00163	回天寶懺利部(卷五、卷六)		中國同善社	重刊		A65	1998/10/1	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00164	回天寶懺貞部(卷七、卷八)		中國同善社	重刊		A65	1998/10/1	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00165	清真溪流古蘭經新譯	沈遐淮	新文豐出版公司	初版		A65	1996/3/1	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00166	桃園明聖經		正一善書出版社			A65	2004/12/1	2017/10/9	C.經典類	峨眉書院	華語	有
JAC00167	朱子刪定玉泉真本桃園明聖經					A65		2017/10/9	C.經典類	峨眉書院	華語	無
JAC00168	道德經	老子	大中華大道文化公司	廿八版		A65	2004/3/1	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00169	玉皇普度聖經、太上無極混元真經		聖賢雜誌社	二版		A65	2008/2/1	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00170	靈寶?觀經					A65		2017/10/9	C.經典類	峨眉書院	華語	無
JAC00171	太上清靜經、釋家心經、彌勒真經、混元布袋經					A65		2017/10/9	C.經典類	峨眉書院	華語	無
JAC00172	太上清靜經					A65		2017/10/9	C.經典類	峨眉書院	華語	無
JAC00173	地藏菩薩本願經		世樺印刷企業有限公司			A65	1998/10/1	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00174	地藏菩薩本願經		菩提長青出版社			A65	1990/10/1	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00175	朱子刪定玉泉真本桃園明聖經		玉珍書局出版社			A65		2017/10/9	C.經典類	峨眉書院	華語	無
JAC00176	濟佛說泗洲大菩薩四字禪經					A65		2017/10/9	C.經典類	峨眉書院	華語	無
JAC00177	濟公禪師度世妙法經、八十八佛洪名寶懺			二版		A65	2006/6/1	2017/10/9	C.經典類	峨眉書院	華語	無
JAC00178	太上玄門日誦		道教總廟三清宮管理委員會	二版		A65	1993/10/1	2017/10/9	C.經典類	峨眉書院	華語	無
JAD00001	道務研習參考資料（一）操持					A33		2017/10/9	D.道學類	峨眉書院	華語	無
JAD00002	道務研習參考資料（二）三寶					A33		2017/10/9	D.道學類	峨眉書院	華語	無
JAD00003	道務研習參考資料（五）渡人成全					A33	2004/4/1	2017/10/9	D.道學類	峨眉書院	華語	無
JAD00004	如何做個標準壇主					A33	2001/10/25	2017/10/9	D.道學類	峨眉書院	華語	無
JAD00005	講題輯要		天道之光出版社	二版		A33	1989/1/1	2017/10/9	D.道學類	峨眉書院	華語	無
JAD00006	講題輯要		天道之光出版社	初版		A33	1990/5/1	2017/10/9	D.道學類	峨眉書院	華語	無
JAD00007	禮儀手冊		德音廣宣	初版		A33	2010/8/1	2017/10/9	D.道學類	峨眉書院	華語	無
JAD00008	懷恩祠入祠手冊		天道之光出版社	初版		A33	2001/10/1	2017/10/9	D.道學類	峨眉書院	華語	無
JAD00009	聖訓班講義卷一		天道之光出版社	初版	1	A33	1988/4/1	2017/10/9	D.道學類	峨眉書院	華語	無
JAD00010	聖訓班講義卷二		天道之光出版社	初版	2	A33	2000/2/1	2017/10/9	D.道學類	峨眉書院	華語	無
JAD00011	靈隱寺慈化家員青年道務幹部培訓手冊（一）					A33		2017/10/9	D.道學類	峨眉書院	華語	無
JAD00012	經典班講義卷		天道之光出版社		1	A32	1990/9/1	2017/10/9	D.道學類	峨眉書院	華語	無
JAD00013	經典班講義卷		天道之光出版社		2	A32	1996/5/1	2017/10/9	D.道學類	峨眉書院	華語	無
JAD00014	經典班講義卷		天道之光出版社		3	A32	1991/9/1	2017/10/9	D.道學類	峨眉書院	華語	無
JAD00015	經典班講義卷		天道之光出版社		4	A32	1992/2/1	2017/10/9	D.道學類	峨眉書院	華語	無
JAD00016	宣德班講義		天道之光出版社			A32	2012/1/1	2017/10/9	D.道學類	峨眉書院	華語	無
JAD00017	至善班講義		天道之光出版社			A32	1998/8/1	2017/10/9	D.道學類	峨眉書院	華語	無
JAD00018	新民班講義		天道之光出版社			A32	2004/2/1	2017/10/9	D.道學類	峨眉書院	華語	無
JAD00019	明德班講義		天道之光出版社			A32	2003/8/1	2017/10/9	D.道學類	峨眉書院	華語	無
JAD00020	明德新民進修錄		利生堂			A32		2017/10/9	D.道學類	峨眉書院	華語	無
JAD00021	三天法會專題		明德出版社	二版	1	A32	2000/1/31	2017/10/9	D.道學類	峨眉書院	華語	無
JAD00022	三天法會專題		明德出版社	二版	2	A32	2000/3/20	2017/10/9	D.道學類	峨眉書院	華語	無
JAD00023	三天法會專題		明德出版社	二版	3	A32	2000/4/10	2017/10/9	D.道學類	峨眉書院	華語	無
JAD00024	講道輯要（一）	何紹棠	圓晟出版社	二版一刷		A32	2003/10/1	2017/10/9	D.道學類	峨眉書院	華語	無
JAD00025	道義題解		天道之光出版社		1	A32	2013/8/3	2017/10/9	D.道學類	峨眉書院	華語	無
JAD00026	道義題解		天道之光出版社		2	A32	2014/11/3	2017/10/9	D.道學類	峨眉書院	華語	無
JAD00027	輔導手冊		天道之光出版社		1	A32	1994/7/1	2017/10/9	D.道學類	峨眉書院	華語	無
JAD00028	輔導手冊		天道之光出版社		2	A32	1994/7/1	2017/10/9	D.道學類	峨眉書院	華語	無
JAD00029	國外人才培訓班題綱		三峽靈隱寺			A32	2002/4/30	2017/10/9	D.道學類	峨眉書院	華語	無
JAD00030	活佛師尊及仙佛慈示妙訓─傳題講師手冊		發一崇德道務中心			A32	1993	2017/10/9	D.道學類	峨眉書院	華語	無
JAD00031	文書培訓手冊		天道之光出版社			A32	2015/2/1	2017/10/9	D.道學類	峨眉書院	華語	無
JAD00032	聖經與天道	渡者	慈光出版社			A33		2017/10/9	D.道學類	峨眉書院	華語	無
JAD00033	天道奧義		若水善書流通處			A33	1982/8/1	2017/10/9	D.道學類	峨眉書院	華語	無
JAD00034	天與我		萬有善書出版社			A33	1987/3/15	2017/10/9	D.道學類	峨眉書院	華語	無
JAD00035	靈與我		萬有善書出版社			A33	1985/12/1	2017/10/9	D.道學類	峨眉書院	華語	無
JAD00036	道鐘警明		道一宮至釋堂管理委員會			A33		2017/10/9	D.道學類	峨眉書院	華語	無
JAD00037	道傘		高雄市祖師堂養性堂			A33	1970/7/1	2017/10/9	D.道學類	峨眉書院	華語	無
JAD00038	人死不滅	羅前人	三德書局			A33		2017/10/9	D.道學類	峨眉書院	華語	無
JAD00039	一貫生命探源	黃淥淮	正一善書出版社	二版		A33	1997/10/1	2017/10/9	D.道學類	峨眉書院	華語	無
JAD00040	人生苦海					A33		2017/10/9	D.道學類	峨眉書院	華語	無
JAD00041	入德淺言					A33		2017/10/9	D.道學類	峨眉書院	華語	無
JAD00042	上帝心聲		利生堂			A33		2017/10/9	D.道學類	峨眉書院	華語	無
JAD00043	金公妙典		天恩宮			A33		2017/10/9	D.道學類	峨眉書院	華語	無
JAD00044	天倫圖皆大歡喜		天恩宮			A33		2017/10/9	D.道學類	峨眉書院	華語	無
JAD00045	道理淺言小徒兒怨師尊		慈光出版社			A33		2017/10/9	D.道學類	峨眉書院	華語	無
JAD00046	孝典	南天直轄武廟明正堂奉旨扶鸞著作	鸞友雜誌社			A33		2017/10/9	D.道學類	峨眉書院	華語	無
JAD00047	修道寶典		高雄崇德佛堂			A33		2017/10/9	D.道學類	峨眉書院	華語	無
JAD00048	玉律金篇	高雄鳳山協善堂	財團法人臺灣省臺中聖賢堂	二版		A33	1983/9/1	2017/10/9	D.道學類	峨眉書院	華語	無
JAD00049	寸心集善錄	吳長榮	寸心印經處			A33	1981	2017/10/9	D.道學類	峨眉書院	華語	無
JAD00050	自省文		天道之光出版社			A33	2000/3/1	2017/10/9	D.道學類	峨眉書院	華語	無
JAD00051	末日浩劫慘狀及證言		正一善書出版社			A33		2017/10/9	D.道學類	峨眉書院	華語	無
JAD00052	天界透視	高雄市聚星宮護法堂				A33	1982/4/1	2017/10/9	D.道學類	峨眉書院	華語	無
JAD00053	一理徹玄機	九九烽火德聖殿				A33	1982/10/1	2017/10/9	D.道學類	峨眉書院	華語	無
JAD00054	自誡文					A33		2017/10/9	D.道學類	峨眉書院	華語	無
JAD00055	天道明燈		正一善書出版社			A33		2017/10/9	D.道學類	峨眉書院	華語	無
JAD00056	歸	郭景汾	正一善書出版社			A33	1996/6/24	2017/10/9	D.道學類	峨眉書院	華語	無
JAD00057	普度收圓演義					A33		2017/10/9	D.道學類	峨眉書院	華語	無
JAD00058	道心私藏	南天直轄武廟明正堂奉旨扶鸞著作	鸞友雜誌社			A33	1984/8/1	2017/10/9	D.道學類	峨眉書院	華語	無
JAD00059	出世必要					A33		2017/10/9	D.道學類	峨眉書院	華語	無
JAD00060	道學須知		正德雜誌社			A33	1984/9/1	2017/10/9	D.道學類	峨眉書院	華語	無
JAD00061	了道秘要					A33		2017/10/9	D.道學類	峨眉書院	華語	無
JAD00062	天界傳真	臺中聖賢堂扶鸞著作	聖賢雜誌社			A33	1980/4/1	2017/10/9	D.道學類	峨眉書院	華語	無
JAD00063	勸發菩薩心文		天恩宮			A33		2017/10/9	D.道學類	峨眉書院	華語	無
JAD00064	忠孝節義		正德雜誌社			A33		2017/10/9	D.道學類	峨眉書院	華語	無
JAD00065	建設佛化家庭即幸福家庭	陳海量	無量壽出版社			A33	1980/8/1	2017/10/9	D.道學類	峨眉書院	華語	無
JAD00066	道脈圖解		萬有善書出版社			A33	1979/6/1	2017/10/9	D.道學類	峨眉書院	華語	無
JAD00067	賢良詞		萬有善書出版社			A33	1976/6/1	2017/10/9	D.道學類	峨眉書院	華語	無
JAD00068	為什麼要做佛事人生最大的一件事		正一善書出版社			A33		2017/10/9	D.道學類	峨眉書院	華語	無
JAD00069	還鄉覺路					A33		2017/10/9	D.道學類	峨眉書院	華語	無
JAD00070	聖學要義─修道疑問解答	臺中聖賢堂扶鸞著作	財團法人臺灣省臺中聖賢堂			A33	1979/8/1	2017/10/9	D.道學類	峨眉書院	華語	無
JAD00071	大道之行天下為公					A33	1975/11/1	2017/10/9	D.道學類	峨眉書院	華語	無
JAD00072	清靜		寸心印經處			A33	1980	2017/10/9	D.道學類	峨眉書院	華語	無
JAD00073	鸞訓欣賞		善言文摘社			A33	1983/2/1	2017/10/9	D.道學類	峨眉書院	華語	無
JAD00074	修身寶鑑					A33		2017/10/9	D.道學類	峨眉書院	華語	無
JAD00075	道劫已臨明證	虛明				A33		2017/10/9	D.道學類	峨眉書院	華語	無
JAD00076	修道真言		寸心印經處			A33		2017/10/9	D.道學類	峨眉書院	華語	無
JAD00077	滅罪消愆─懺悔者由衷的表達		正一善書出版社			A33		2017/10/9	D.道學類	峨眉書院	華語	無
JAD00078	一失人身萬劫難					A33		2017/10/9	D.道學類	峨眉書院	華語	無
JAD00079	修天道					A33		2017/10/9	D.道學類	峨眉書院	華語	無
JAD00080	明真仙徑					A33		2017/10/9	D.道學類	峨眉書院	華語	無
JAD00081	重整倫禮道德勸孝寶訓		天恩宮			A33		2017/10/9	D.道學類	峨眉書院	華語	無
JAD00082	道學新介紹		利生堂			A33		2017/10/9	D.道學類	峨眉書院	華語	無
JAD00083	綱常倫理從德合編		利生堂			A33		2017/10/9	D.道學類	峨眉書院	華語	無
JAD00084	還鄉覺路		利生堂			A33		2017/10/9	D.道學類	峨眉書院	華語	無
JAD00085	十條大愿		利生堂			A33		2017/10/9	D.道學類	峨眉書院	華語	無
JAD00086	十條大愿還鄉覺路		三峽靈隱寺			A33		2017/10/9	D.道學類	峨眉書院	華語	無
JAD00087	談信仰		三峽靈隱寺			A33		2017/10/9	D.道學類	峨眉書院	華語	無
JAD00088	萬祖歸真傳		寸心印經處			A33		2017/10/9	D.道學類	峨眉書院	華語	無
JAD00089	感應篇引證句解		宏大善書局			A33		2017/10/9	D.道學類	峨眉書院	華語	無
JAD00090	八德白話講義	蓬萊趙九陽				A33		2017/10/9	D.道學類	峨眉書院	華語	無
JAD00091	皮袋歌	虛雲老和尚				A33		2017/10/9	D.道學類	峨眉書院	華語	無
JAD00092	畜道陳情書		正一善書出版社			A33		2017/10/9	D.道學類	峨眉書院	華語	無
JAD00093	開智慧眼‧發菩提心	鷗僧	三德書局			A33	1996	2017/10/9	D.道學類	峨眉書院	華語	無
JAD00094	性理釋疑選讀小註（上）	夢湖	玉珍書局出版社		1	A33	1987/9/1	2017/10/9	D.道學類	峨眉書院	華語	無
JAD00095	性理釋疑選讀小註（下）	夢湖	玉珍書局出版社		2	A33	1988/6/1	2017/10/9	D.道學類	峨眉書院	華語	無
JAD00096	性理釋疑選讀小註（全）	夢湖	玉珍書局出版社	二版	3	A33	1997/3/1	2017/10/9	D.道學類	峨眉書院	華語	無
JAD00097	性理題釋教材教本	濟公活佛著‧孟穎譯註	靝巨書局	初版二刷		A33	2007/1/1	2017/10/9	D.道學類	峨眉書院	華語	無
JAD00098	三教心法	光月	文史哲出版社	二版		A33	2001/1/1	2017/10/9	D.道學類	峨眉書院	華語	無
JAD00099	禮囑與三寶心法	雷鳴	正一善書出版社	初版		A33	1997/11/1	2017/10/9	D.道學類	峨眉書院	華語	無
JAD00100	三寶心法與祖師禪	郭明義、慈蓮華	慈鼎出版社	初版一刷		A33	1995/9/1	2017/10/9	D.道學類	峨眉書院	華語	無
JAD00101	裕修筆札之一道義百問		天恩宮			A33		2017/10/9	D.道學類	峨眉書院	華語	無
JAD00102	修道百問	郭明義	慈鼎出版社	二版一刷		A33	1997/1/1	2017/10/9	D.道學類	峨眉書院	華語	無
JAD00103	慧心法語		德慧雜誌社			A33	2003/9/1	2017/10/9	D.道學類	峨眉書院	華語	無
JAD00104	十六字心法妙訓		德慧雜誌社			A33	2002/6/1	2017/10/9	D.道學類	峨眉書院	華語	無
JAD00105	慈心慧語		德慧雜誌社			A33	1999/11/1	2017/10/9	D.道學類	峨眉書院	華語	無
JAD00106	儒佛的心性探討	韓萬年、陸隆吉	光慧文化事業股份有限公司	初版		A33	2001/9/30	2017/10/9	D.道學類	峨眉書院	華語	無
JAD00107	覺路指南白話譯註	陸隆吉	光慧文化事業股份有限公司	初版		A33	2002/3/22	2017/10/9	D.道學類	峨眉書院	華語	無
JAD00108	金公祖師闡道篇白話譯註	韓萬年	光慧文化事業股份有限公司	初版		A33	2002/8/1	2017/10/9	D.道學類	峨眉書院	華語	無
JAD00109	一條金線白話譯註	王冠英	光慧文化事業股份有限公司	二版一刷		A33	2005/7/1	2017/10/9	D.道學類	峨眉書院	華語	無
JAD00110	認理歸真的重現與重建	李玉柱	圓晟出版社	二版一刷		A33	1994/9/20	2017/10/9	D.道學類	峨眉書院	華語	無
JAD00111	天道的再發現與再創造	李玉柱	圓晟出版社	二版一刷		A33	1994/9/20	2017/10/9	D.道學類	峨眉書院	華語	無
JAD00112	回歸道與上帝	慈陽居士	大道文化	初版		A33	1998/7/30	2017/10/9	D.道學類	峨眉書院	華語	無
JAD00113	大道性理真傳	慈陽居士	大道文化	初版		A33	1998/7/31	2017/10/9	D.道學類	峨眉書院	華語	無
JAD00114	天道真理講義小註	林立仁	正一善書出版社			A33		2017/10/9	D.道學類	峨眉書院	華語	無
JAD00115	愿懺文的啟示	慈無依	慈光出版社	二版		A33	1982/5/1	2017/10/9	D.道學類	峨眉書院	華語	無
JAD00116	末後一著	慈無依	慈光出版社	初版		A33	1982/10/1	2017/10/9	D.道學類	峨眉書院	華語	無
JAD00117	修道真寶	慈無依	慈光出版社	初版		A33	1988/3/1	2017/10/9	D.道學類	峨眉書院	華語	無
JAD00118	三曹普渡		正一善書出版社	初版		A33	1995/5/1	2017/10/9	D.道學類	峨眉書院	華語	無
JAD00119	道學新論	何僩文	天恩宮			A33		2017/10/9	D.道學類	峨眉書院	華語	無
